column,value,rows
Diagnosis_Primary,Orthopedic/ Musculoskeletal,13928
Diagnosis_Primary,Central Nervous System/ Neuromuscular Disorder,12159
Diagnosis_Primary,Digestive System/ Gastrointestinal,9250
Diagnosis_Primary,Cardiac/ Circulatory Problems,9199
Diagnosis_Primary,Endocrine/ Metabolic/ Nutritional,8392
Diagnosis_Primary,Mental Health,7787
Diagnosis_Primary,Dental Problems,6203
Diagnosis_Primary,Cancer,5854
Diagnosis_Primary,Respiratory System,4513
Diagnosis_Primary,Skin Disorders,4114
Diagnosis_Primary,Infectious Disease,3095
Diagnosis_Primary,Genitourinary/ Kidney Disorder,2932
Diagnosis_Primary,Other,2206
Diagnosis_Primary,Immunologic Disorders,1843
Diagnosis_Primary,Pregnancy/ Childbirth,1738
Diagnosis_Primary,Autism Spectrum,1684
Diagnosis_Primary,Substance Abuse/ Addiction,1640
Diagnosis_Primary,Ears/ Nose/ Throat,1530
Diagnosis_Primary,Trauma/ Injuries,1027
Diagnosis_Primary,Gynecological,986
Diagnosis_Primary,Vision,977
Diagnosis_Primary,Blood Disorder,933
Diagnosis_Primary,Genetic Diseases,716
Diagnosis_Primary,Foot Disorder,554
Diagnosis_Primary,Chronic Pain Syndrome,193
Diagnosis_Primary,Gender Dysphoria,143
Diagnosis_Primary,COVID 19,50
Diagnosis_Primary,Eating Disorders,34
Treatment_Primary,Pharmacy,23420
Treatment_Primary,Inpatient Hospital,23301
Treatment_Primary,Home Health Care,8097
Treatment_Primary,Diagnostic Testing (other than Radiology),6369
Treatment_Primary,Dental/ Orthodontic Procedure,6100
Treatment_Primary,Surgical Services,5405
Treatment_Primary,Mental Health,4830
Treatment_Primary,DME,3723
Treatment_Primary,Pain Management,3274
Treatment_Primary,Skilled Nursing Facility,2375
Treatment_Primary,Orthopedic Proc,1677
Treatment_Primary,Cancer Care,1622
Treatment_Primary,Reconstr/Plast Proc,1309
Treatment_Primary,Autism Related Treatment (including ABA),1171
Treatment_Primary,Elect/Therm/Radfreq,1115
Treatment_Primary,Diag/ MD Eval,776
Treatment_Primary,Substance Abuse: Inpatient,740
Treatment_Primary,Emergency Care/ Emergency Room,643
Treatment_Primary,Radiation Therapy,527
Treatment_Primary,Special Proc,499
Treatment_Primary,Ear-Nose-Thro Proc,490
Treatment_Primary,Mental Health: Inpatient,442
Treatment_Primary,Other Thera Proc,414
Treatment_Primary,Advanced Imaging Services (Including PET/ MRI/ CT),406
Treatment_Primary,Genetic Testing,386
Treatment_Primary,Physical Therapy,357
Treatment_Primary,Acute Med Svc Inpt,341
Treatment_Primary,OB/ GYN Services,322
Treatment_Primary,Radiology Services (including Ultrasound),311
Treatment_Primary,Inpatient Rehabilitation,274
Treatment_Primary,Chiropractic Care,219
Treatment_Primary,Nursing Services (including Private Duty Nursing),211
Treatment_Primary,Vision Services,196
Treatment_Primary,Neurosurgery Proc,171
Treatment_Primary,Ambulance (Including Air Ambulance),162
Treatment_Primary,Mental Health: Outpatient,158
Treatment_Primary,Infertility Treatment,144
Treatment_Primary,Lab Work/ Blood Tests,134
Treatment_Primary,Cancer Screening,125
Treatment_Primary,Mental Health: Residential,109
Treatment_Primary,Urology Proc,105
Treatment_Primary,Infusion Therapy,100
Treatment_Primary,Orthotics,79
Treatment_Primary,Diabetic Equipment/ Supplies/ Self-Management Education,78
Treatment_Primary,Occupational Therapy,75
Treatment_Primary,Ophthalmology Proc,65
Treatment_Primary,Transportation,65
Treatment_Primary,Speech Therapy,59
