column,nunique,max_nunique_within_state,pct_of_rows
CMS_Avg_Bene_Age_65_74_Cnt,2,1,0.0019
CMS_Avg_Bene_Age_75_84_Cnt,2,1,0.0019
CMS_Avg_Bene_Age_GT_84_Cnt,2,1,0.0019
CMS_Avg_Bene_Age_LT_65_Cnt,2,1,0.0019
CMS_Avg_Bene_Avg_Age,2,1,0.0019
CMS_Avg_Bene_Avg_Risk_Scre,2,1,0.0019
CMS_Avg_Bene_CC_BH_ADHD_OthCD_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Alcohol_Drug_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Alz_NonAlzdem_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Anxiety_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Bipolar_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Depress_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Mood_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_PD_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_PTSD_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Schizo_OthPsy_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_BH_Tobacco_V1_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Afib_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Arthritis_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Asthma_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_CKD_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_COPD_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Cancer6_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Diabetes_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_HF_NonIHD_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Hyperlipidemia_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Hypertension_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_IschemicHeart_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Osteoporosis_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Parkinson_V2_Pct,2,1,0.0019
CMS_Avg_Bene_CC_PH_Stroke_TIA_V2_Pct,2,1,0.0019
CMS_Avg_Bene_Dual_Cnt,2,1,0.0019
CMS_Avg_Bene_Feml_Cnt,2,1,0.0019
CMS_Avg_Bene_Male_Cnt,2,1,0.0019
CMS_Avg_Bene_Ndual_Cnt,2,1,0.0019
CMS_Avg_Bene_Race_API_Cnt,2,1,0.0019
CMS_Avg_Bene_Race_Black_Cnt,2,1,0.0019
CMS_Avg_Bene_Race_Hspnc_Cnt,2,1,0.0019
CMS_Avg_Bene_Race_NatInd_Cnt,2,1,0.0019
CMS_Avg_Bene_Race_Othr_Cnt,2,1,0.0019
CMS_Avg_Bene_Race_Wht_Cnt,2,1,0.0019
CMS_Avg_Drug_Mdcr_Alowd_Amt,2,1,0.0019
CMS_Avg_Drug_Mdcr_Pymt_Amt,2,1,0.0019
CMS_Avg_Drug_Mdcr_Stdzd_Amt,2,1,0.0019
CMS_Avg_Drug_Sbmtd_Chrg,2,1,0.0019
CMS_Avg_Drug_Tot_Benes,2,1,0.0019
CMS_Avg_Drug_Tot_HCPCS_Cds,2,1,0.0019
CMS_Avg_Drug_Tot_Srvcs,2,1,0.0019
CMS_Avg_Med_Mdcr_Alowd_Amt,2,1,0.0019
CMS_Avg_Med_Mdcr_Pymt_Amt,2,1,0.0019
CMS_Avg_Med_Mdcr_Stdzd_Amt,2,1,0.0019
CMS_Avg_Med_Sbmtd_Chrg,2,1,0.0019
CMS_Avg_Med_Tot_Benes,2,1,0.0019
CMS_Avg_Med_Tot_HCPCS_Cds,2,1,0.0019
CMS_Avg_Med_Tot_Srvcs,2,1,0.0019
CMS_Avg_Rndrng_Prvdr_RUCA,2,1,0.0019
CMS_Avg_Tot_Benes,2,1,0.0019
CMS_Avg_Tot_HCPCS_Cds,2,1,0.0019
CMS_Avg_Tot_Mdcr_Alowd_Amt,2,1,0.0019
CMS_Avg_Tot_Mdcr_Pymt_Amt,2,1,0.0019
CMS_Avg_Tot_Mdcr_Stdzd_Amt,2,1,0.0019
CMS_Avg_Tot_Sbmtd_Chrg,2,1,0.0019
CMS_Avg_Tot_Srvcs,2,1,0.0019
