State,Treatment_Primary,rows,real_rows,distinct_paid_values,paid_min,paid_max
NY,Inpatient Hospital,23301,23277,1,82.15,82.15
CA,Pharmacy,11936,11936,1,91.28,91.28
NY,Pharmacy,11484,11482,1,91.91,91.91
NY,Home Health Care,7944,7940,1,72.27,72.27
CA,Diagnostic Testing (other than Radiology),5988,5988,1,115.15,115.15
NY,Dental/ Orthodontic Procedure,5932,5928,1,209.08,209.08
CA,Mental Health,4830,4830,1,74.68,74.68
NY,Surgical Services,3365,3350,1,243.07,243.07
CA,DME,2697,2679,1,40.59,40.59
CA,Surgical Services,2040,0,0,,
CA,Skilled Nursing Facility,1899,1380,1,54.8,54.8
CA,Pain Management,1827,1827,1,100.34,100.34
CA,Orthopedic Proc,1677,1676,1,342.56,342.56
CA,Cancer Care,1622,1622,1,197.3,197.3
NY,Pain Management,1447,1445,1,82.85,82.85
CA,Reconstr/Plast Proc,1309,1309,1,547.5,547.5
CA,Elect/Therm/Radfreq,1115,1115,1,247.18,247.18
CA,Autism Related Treatment (including ABA),1039,0,0,,
NY,DME,1026,0,0,,
CA,Diag/ MD Eval,776,0,0,,
NY,Substance Abuse: Inpatient,740,0,0,,
CA,Emergency Care/ Emergency Room,620,0,0,,
NY,Radiation Therapy,527,0,0,,
CA,Special Proc,499,0,0,,
CA,Ear-Nose-Thro Proc,490,0,0,,
NY,Skilled Nursing Facility,476,0,0,,
NY,Mental Health: Inpatient,442,0,0,,
CA,Other Thera Proc,414,0,0,,
NY,Advanced Imaging Services (Including PET/ MRI/ CT),406,0,0,,
NY,Genetic Testing,386,0,0,,
NY,Diagnostic Testing (other than Radiology),381,0,0,,
NY,Physical Therapy,357,0,0,,
CA,Acute Med Svc Inpt,341,0,0,,
NY,Radiology Services (including Ultrasound),311,0,0,,
CA,OB/ GYN Services,292,0,0,,
NY,Inpatient Rehabilitation,274,0,0,,
NY,Nursing Services (including Private Duty Nursing),211,0,0,,
CA,Neurosurgery Proc,171,0,0,,
CA,Dental/ Orthodontic Procedure,168,0,0,,
NY,Ambulance (Including Air Ambulance),162,0,0,,
CA,Vision Services,162,0,0,,
CA,Chiropractic Care,158,0,0,,
NY,Mental Health: Outpatient,158,0,0,,
CA,Home Health Care,153,153,1,69.58,69.58
NY,Infertility Treatment,144,0,0,,
NY,Lab Work/ Blood Tests,134,0,0,,
NY,Autism Related Treatment (including ABA),132,0,0,,
NY,Cancer Screening,125,0,0,,
NY,Mental Health: Residential,109,0,0,,
CA,Urology Proc,105,0,0,,
NY,Infusion Therapy,100,0,0,,
NY,Orthotics,79,0,0,,
NY,Diabetic Equipment/ Supplies/ Self-Management Education,78,0,0,,
NY,Occupational Therapy,75,0,0,,
CA,Transportation,65,0,0,,
CA,Ophthalmology Proc,65,0,0,,
NY,Chiropractic Care,61,0,0,,
NY,Substance Abuse Treatment: Residential,59,0,0,,
NY,Speech Therapy,59,0,0,,
NY,Chemotherapy,55,0,0,,
NY,Skin Treatments,54,0,0,,
NY,Prosthetics,47,0,0,,
CA,Prev Health Screen,44,0,0,,
CA,Drug Ad Oth Oral,42,0,0,,
NY,Medical Supplies,37,0,0,,
NY,Vision Services,34,0,0,,
CA,Medicine Serv Proc,34,0,0,,
CA,Not Applicable,31,0,0,,
NY,OB/ GYN Services,30,0,0,,
CA,Radio Proc,29,0,0,,
NY,Oxygen/ Oxygen Treatments,26,0,0,,
NY,Emergency Care/ Emergency Room,23,0,0,,
NY,Office Visit,20,0,0,,
CA,Alcohol Drug Tmt,20,0,0,,
NY,Maternity and Newborn Care,19,0,0,,
NY,Substance Abuse: Outpatient,18,0,0,,
NY,Nutritional Supplement,16,0,0,,
NY,Hearing Aids,14,0,0,,
CA,Eval and Mgmt,13,0,0,,
NY,Anesthesia,13,0,0,,
NY,Cochlear Implants,13,0,0,,
NY,Palliative Care (End of Life),8,0,0,,
NY,Stem Cell Transplant,8,0,0,,
NY,Enteral Formulas,7,0,0,,
CA,Path Lab Proc,7,0,0,,
NY,Foot Care,6,0,0,,
CA,DME MACs,6,0,0,,
CA,Temp Codes,6,0,0,,
NY,Podiatric Care,6,0,0,,
NY,Hospice Care,5,0,0,,
NY,Bone Growth Simulator,5,0,0,,
NY,Acupuncture,4,0,0,,
NY,Assistant Surgeon,4,0,0,,
CA,MLTSS,3,0,0,,
CA,Admin Misc Invest,3,0,0,,
NY,Allergy Testing and Treatment,3,0,0,,
CA,Proc/Profess Serv,2,0,0,,
CA,Category III Codes,2,0,0,,
NY,Bone Density Testing,2,0,0,,
NY,Biofeedback,2,0,0,,
CA,Med Surg Supplies,2,0,0,,
CA,National Temp Codes,2,0,0,,
CA,Chemo Drugs,1,0,0,,
CA,Ambulance Transport,1,0,0,,
CA,Est National Codes,1,0,0,,
CA,Outpatient PPS,1,0,0,,
CA,Prosthetic Proc,1,0,0,,
CA,Prop Lab Analyses,1,0,0,,
NY,Autologous Blood Banking,1,0,0,,
NY,Cyst Removal,1,0,0,,
NY,Immunizations,1,0,0,,
NY,Dialysis,1,0,0,,
NY,Prescription Drug,1,0,0,,
NY,Sterilization Procedures,1,0,0,,
